date,name,category,value
2002-01-01,Boeing,United States,39900
2002-01-01,Northrop Grumman Corp.,United States,35560
2002-01-01,Lockheed Martin Corp.,United States,31960
2002-01-01,BAE Systems,United Kingdom,19960
2002-01-01,Raytheon,United States,20360
2002-01-01,General Dynamics Corp.,United States,16630
2002-01-01,Thales,France,11100
2002-01-01,United Technologies Corp.,United States,9550
2002-01-01,EADS,Trans-European,9390
2002-01-01,Honeywell International,United States,6300
2002-01-01,Finmeccanica,Italy,6480
2002-01-01,L-3 Communications,United States,5110
2002-01-01,Science Applications International Corp.,United States,5080
2002-01-01,Rolls-Royce,United Kingdom,4040
2002-01-01,Mitsubishi Heavy Industries,Japan,2370
2002-01-01,General Electric,United States,3730
2002-01-01,Computer Sciences Corp.,United States,3350
2002-01-01,GKN,United Kingdom,2550
2002-01-01,United Defense Industries,United States,2930
2002-01-01,MBDA,Trans-European,2750
2002-01-01,Rheinmetall,Germany,2710
2002-01-01,ITT Industries,United States,2560
2002-01-01,Textron,United States,2350
2002-01-01,Direction des Constructions Navales,France,2220
2002-01-01,DynCorp,United States,2300
2002-01-01,Saab,Sweden,1750
2002-01-01,Israel Aircraft Industries,Israel,2230
2002-01-01,Alliant Techsystems,United States,2120
2002-01-01,URS Corp.,United States,2030
2002-01-01,SNECMA Groupe,France,1880
2002-01-01,Indian Ordnance Factories,India,2510
2002-01-01,Dassault Aviation Group,France,1850
2002-01-01,Rockwell Collins,United States,1900
2002-01-01,CEA,France,1780
2002-01-01,Smiths Group,United Kingdom,1560
2002-01-01,Goodrich Corp.,United States,1730
2002-01-01,Harris Corp.,United States,1630
2002-01-01,KnAAPO,Russia,1950
2002-01-01,ThyssenKrupp,Germany,1650
2002-01-01,DaimlerChrysler,Germany,1610
2002-01-01,Halliburton,United States,1570
2002-01-01,QinetiQ,United Kingdom,1320
2002-01-01,General Motors Company,United States,1520
2002-01-01,Kawasaki Heavy Industries,Japan,870
2002-01-01,Elbit Systems,Israel,1520
2002-01-01,ST Engineering,Singapore,1690
